id;name;slug;uic;uic8_sncf;latitude;longitude;parent_station_id;country;time_zone;is_city;is_main_station;is_airport;is_suggestable;country_hint;main_station_hint;sncf_id;sncf_tvs_id;sncf_is_enabled;entur_id;entur_is_enabled;db_id;db_is_enabled;busbud_id;busbud_is_enabled;distribusion_id;distribusion_is_enabled;flixbus_id;flixbus_is_enabled;cff_id;cff_is_enabled;leoexpress_id;leoexpress_is_enabled;obb_id;obb_is_enabled;ouigo_id;ouigo_is_enabled;trenitalia_id;trenitalia_is_enabled;trenitalia_rtvt_id;ntv_rtiv_id;ntv_id;ntv_is_enabled;hkx_id;hkx_is_enabled;renfe_id;renfe_is_enabled;atoc_id;atoc_is_enabled;benerail_id;benerail_is_enabled;westbahn_id;westbahn_is_enabled;sncf_self_service_machine;same_as;info:de;info:en;info:es;info:fr;info:it;info:nb;info:nl;info:cs;info:da;info:hu;info:ja;info:ko;info:pl;info:pt;info:ru;info:sv;info:tr;info:zh;normalised_code;iata_airport_code
4717;Lyon Gorge de Loup;lyon-gorge-de-loup;8772117;87721175;45.766078;4.804631;4718;FR;Europe/Paris;f;f;f;t;f;f;FRLYL;LYL;t;;f;8703871;f;;f;;f;;f;;f;;f;8703871;f;;f;8772117;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;Lione;;;;;;リヨン;리옹;;;Лион;;;里昂;urn:trainline:public:nloc:csv4717;
4917;Paris Bercy Bourgogne-Pays d’Auvergne;paris-bercy-bourgogne-pays-dauvergne;8768666;87686667;48.83917;2.38278;4916;FR;Europe/Paris;f;f;f;t;f;f;FRPBE;PBY;t;;f;8702455;f;;f;;f;;f;;f;;f;;f;;f;8768666;f;;;;f;;f;8700018;t;;f;FRPBE;f;;f;t;;;;;;Parigi;;Parijs;Paříž;;Párizs;パリ;파리;Paryż;;Париж;;;巴黎;urn:trainline:public:nloc:csv4917;
4919;Paris Gare de l’Est;paris-gare-de-lest;8711300;87113001;48.876742;2.358424;4916;FR;Europe/Paris;f;f;f;t;f;f;FRPST;PES;t;;f;8700011;t;;f;;f;;f;;f;;f;8700011;t;;f;8711300;f;;;;f;;f;8700012;t;;f;FRPST;f;;f;t;;;;;;Parigi;;Parijs;Paříž;;Párizs;パリ;파리;Paryż;;Париж;;;巴黎;urn:trainline:public:nloc:csv4919;
4920;Paris Montparnasse;paris-montparnasse;8739100;87391003;48.841172;2.320514;4916;FR;Europe/Paris;f;f;f;t;f;f;FRPMO;PMP;t;;f;8700013;f;;f;@FRPARPGM;t;;f;;f;;f;8700013;f;PMO;t;8739100;f;;;;f;;f;8700014;t;;f;FRPMO;f;;f;t;;;;;;Parigi;;Parijs;Paříž;;Párizs;パリ;파리;Paryż;;Париж;;;巴黎;urn:trainline:public:nloc:csv4920;
4921;Paris Austerlitz;paris-austerlitz;8754700;87547000;48.842285;2.364891;4916;FR;Europe/Paris;f;f;f;t;f;f;FRPAZ;PAZ;t;;f;8700010;f;;f;;f;;f;;f;;f;8700010;f;PAZ;t;8754700;f;;;;f;;f;87011;t;;f;FRPAZ;f;;f;t;;;;;;Parigi;;Parijs;Paříž;;Párizs;パリ;파리;Paryż;;Париж;;;巴黎;urn:trainline:public:nloc:csv4921;
4922;Paris Gare du Nord;paris-gare-du-nord;8727100;87271007;48.880185;2.355151;4916;FR;Europe/Paris;f;t;f;t;f;f;FRPNO;PNO;t;;f;8700014;f;;f;;f;;f;;f;;f;;f;;f;8727100;f;;;;f;;f;8700015;t;;f;FRPNO;t;;f;t;;;;;;Parigi;;Parijs;Paříž;;Párizs;パリ;파리;Paryż;;Париж;;;巴黎;urn:trainline:public:nloc:csv4922;
4923;Paris St-Lazare;paris-st-lazare;8738400;87384008;48.876242;2.325331;4916;FR;Europe/Paris;f;f;f;t;f;f;FRPSL;PSL;t;;f;8700015;f;;f;;f;;f;;f;;f;8700015;f;;f;8738400;f;;;;f;;f;8700017;t;;f;FRPSL;f;;f;t;;;;;;Parigi;;Parijs;Paříž;;Párizs;パリ;파리;Paryż;;Париж;;;巴黎;urn:trainline:public:nloc:csv4923;
4924;Paris Gare de Lyon;paris-gare-de-lyon;8768600;87686006;48.844888;2.373520;4916;FR;Europe/Paris;f;f;f;t;f;f;FRPLY;PLY;t;;f;8700012;f;;f;@FRPARPGD;t;;f;;f;;f;8700012;f;PLY;t;8768600;t;;;;f;;f;8700013;t;;f;FRPLY;f;;f;t;;;;;;Parigi;;Parijs;Paříž;;Párizs;パリ;파리;Paryż;;Париж;;;巴黎;urn:trainline:public:nloc:csv4924;
4837;Nice St-Augustin;nice-st-augustin;8775625;87756254;43.670728;7.216199;4836;FR;Europe/Paris;f;f;f;t;f;f;FRNSA;NIA;t;;f;8701667;f;;f;;f;;f;;f;;f;8701667;f;;f;8775625;f;;;;f;;f;;f;;f;;f;;f;f;;Nizza;;Niza;;Nizza;;;;;Nizza;ニース;니스;Nicea;;Ницца;;;尼斯;urn:trainline:public:nloc:csv4837;
4838;Nice Riquier;nice-riquier;8775635;87756353;43.705554;7.290175;4836;FR;Europe/Paris;f;f;f;t;f;f;FRNRI;NIR;t;;f;8700481;f;;f;;f;;f;;f;;f;8700481;f;;f;8775635;f;;;;f;;f;8700404;f;;f;;f;;f;f;;Nizza;;Niza;;Nizza;;;;;Nizza;ニース;니스;Nicea;;Ницца;;;尼斯;urn:trainline:public:nloc:csv4838;
4839;Nice Ville;nice-ville;8775605;87756056;43.704556;7.261904;4836;FR;Europe/Paris;f;t;f;t;f;f;FRNIC;NIC;t;;f;8700171;f;;f;;f;;f;;f;;f;8700171;f;FRNIC;t;8775605;t;;;;f;;f;8700400;f;;f;FRNIC;f;;f;t;;Nizza;;Niza;;Nizza;;;;;Nizza;ニース;니스;Nicea;;Ницца;;;尼斯;urn:trainline:public:nloc:csv4839;
4840;Nice St-Roch;nice-st-roch;8775600;87756007;43.715342;7.286869;4836;FR;Europe/Paris;f;f;f;t;f;f;FRNSR;NSR;t;;f;8704112;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;Nizza;;Niza;;Nizza;;;;;Nizza;ニース;니스;Nicea;;Ницца;;;尼斯;urn:trainline:public:nloc:csv4840;
9446;La Défense;la-defense;8720750;87207506;48.89147;2.24248;9817;FR;Europe/Paris;f;f;f;t;f;f;FRDGA;LDU;f;;f;8703563;f;u09w4u;t;;f;;f;;f;;f;8703563;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;Paris;Paris;Paris;Paris;Parigi;Paris;Parijs;Paříž;Paris;Párizs;パリ;파리;Paryż;Paris;Ля Дефанс;Paris;;巴黎;urn:trainline:public:nloc:csv9446;
